Tanggal,Prediksi,CI_Bawah_95,CI_Atas_95,Aset,Ticker
2026-06-09,77426.47371548387,64701.69659679873,90151.250834169,Bitcoin,BTC-USD
2026-06-10,77426.47371548387,64389.41217397992,90463.5352569878,Bitcoin,BTC-USD
2026-06-11,77426.47371548387,64084.43509487909,90768.51233608864,Bitcoin,BTC-USD
2026-06-12,77426.47371548387,63786.27520261545,91066.67222835228,Bitcoin,BTC-USD
2026-06-13,77426.47371548387,63494.49480410139,91358.45262686635,Bitcoin,BTC-USD
2026-06-14,77426.47371548387,63208.70112959847,91644.24630136926,Bitcoin,BTC-USD
2026-06-15,77426.47371548387,62928.540130979396,91924.40729998834,Bitcoin,BTC-USD
2026-06-16,77426.47371548387,62653.6913391862,92199.25609178153,Bitcoin,BTC-USD
2026-06-17,77426.47371548387,62383.86356783332,92469.08386313441,Bitcoin,BTC-USD
2026-06-18,77426.47371548387,62118.79129877076,92734.15613219696,Bitcoin,BTC-USD
2026-06-19,77426.47371548387,61858.23162179532,92994.71580917241,Bitcoin,BTC-USD
2026-05-22,97.56856874091648,92.41054162832626,102.7265958535067,Minyak,CL=F
2026-05-25,97.75470274796612,91.21744263877895,104.2919628571533,Minyak,CL=F
2026-05-26,98.11800422982192,90.59596042855931,105.64004803108453,Minyak,CL=F
2026-05-27,98.12467904765336,89.7806519509584,106.46870614434832,Minyak,CL=F
2026-05-28,98.36063609677778,89.33051932518438,107.39075286837118,Minyak,CL=F
2026-05-29,98.29012459263252,88.63012529010369,107.95012389516135,Minyak,CL=F
2026-06-01,98.46712803186767,88.24800745777812,108.68624860595723,Minyak,CL=F
2026-06-02,98.36474556836009,87.61032438519517,109.11916675152501,Minyak,CL=F
2026-06-03,98.51323093488104,87.2692641707295,109.75719769903257,Minyak,CL=F
2026-06-04,98.39901385148578,86.6766774277325,110.12135027523905,Minyak,CL=F
2026-06-05,98.53256696128729,86.36566746945685,110.69946645311772,Minyak,CL=F
2026-06-08,98.41533356585795,85.80933959080795,111.02132754090795,Minyak,CL=F
2026-06-09,98.54005869020084,85.52206334311163,111.55805403729005,Minyak,CL=F
2026-06-10,98.42365040639262,84.9962480125972,111.85105280018804,Minyak,CL=F
2026-06-11,98.54232859003223,84.72832052357252,112.35633665649193,Minyak,CL=F
2026-06-12,98.4283801258108,84.22877611456059,112.62798413706102,Minyak,CL=F
2026-06-15,98.54231501123071,83.97688982417445,113.10774019828698,Minyak,CL=F
2026-06-16,98.43148387215513,83.50030787202056,113.3626598722897,Minyak,CL=F
2026-06-17,98.54132107827685,83.26187967214861,113.8207624844051,Minyak,CL=F
2026-06-18,98.43383323513453,82.80560972255971,114.06205674770935,Minyak,CL=F
2026-06-19,98.53992412684634,82.5785866565798,114.50126159711289,Minyak,CL=F
2026-06-22,98.4358161482443,82.1404690561549,114.7311632403337,Minyak,CL=F
2026-06-23,98.53837937303625,81.92319965225514,115.15355909381736,Minyak,CL=F
2026-06-24,98.43760583072442,81.50145018440215,115.3737614770467,Minyak,CL=F
2026-06-25,98.53679908823109,81.29259189540858,115.7810062810536,Minyak,CL=F
2026-06-26,98.43928016351661,80.88571778424823,115.992842542785,Minyak,CL=F
2026-06-29,98.53523212805626,80.68416832190475,116.38629593420778,Minyak,CL=F
2026-06-30,98.44087467756506,80.29090573358442,116.5908436215457,Minyak,CL=F
2026-07-01,98.53369923169711,80.09575150657088,116.97164695682335,Minyak,CL=F
2026-07-02,98.44240607469982,79.71501852743681,117.16979362196282,Minyak,CL=F
2026-05-22,305.09398218433176,299.21018733306437,310.97777703559916,Apple,AAPL
2026-05-25,305.07915844349395,296.70623810364776,313.45207878334014,Apple,AAPL
2026-05-26,304.99763361383003,294.67857698369875,315.3166902439613,Apple,AAPL
2026-05-27,304.97391366139874,293.1130112600884,316.8348160627091,Apple,AAPL
2026-05-28,304.9927673369192,291.82776728287666,318.15776739096174,Apple,AAPL
2026-05-29,305.04297673679605,290.73121671584045,319.35473675775165,Apple,AAPL
2026-06-01,305.1162798098509,289.76967222947894,320.4628873902228,Apple,AAPL
2026-06-02,305.20659150738487,288.9088882212873,321.5042947934824,Apple,AAPL
2026-06-03,305.3094301556748,288.12579502792926,322.4930652834204,Apple,AAPL
2026-06-04,305.4214949759832,287.4042408255362,323.4387491264302,Apple,AAPL
2026-06-05,305.5403549255909,286.73257923216653,324.3481306190153,Apple,AAPL
2026-06-08,305.66421952741007,286.10220830206424,325.2262307527559,Apple,AAPL
2026-06-09,305.791770084662,285.5066418008592,326.0768983684648,Apple,AAPL
2026-06-10,305.92203536950706,284.94089706901144,326.9031736700027,Apple,AAPL
2026-06-11,306.0543000669981,284.40108015287785,327.70751998111837,Apple,AAPL
2026-06-12,306.18803734352036,283.88409835099526,328.49197633604547,Apple,AAPL
2026-06-15,306.3228591830554,283.387457410044,329.2582609560668,Apple,AAPL
2026-06-16,306.4584798095511,282.90911623768267,330.0078433814195,Apple,AAPL
2026-06-17,306.5946887472845,282.4473814182034,330.74199607636564,Apple,AAPL
2026-06-18,306.73133097966286,282.0008296954079,331.4618322639178,Apple,AAPL
2026-06-19,306.86829233606494,281.56825036368895,332.16833430844093,Apple,AAPL
2026-06-22,307.0054887291646,281.14860199301904,332.86237546531015,Apple,AAPL
2026-06-23,307.14285822815776,280.7409795808285,333.54473687548705,Apple,AAPL
2026-06-24,307.28035522064727,280.34458936101873,334.2161210802758,Apple,AAPL
2026-06-25,307.41794611283757,279.958729286878,334.87716293879714,Apple,AAPL
2026-06-26,307.5556061627032,279.58277375504275,335.5284385703637,Apple,AAPL
2026-06-29,307.6933171475986,279.21616152671857,336.1704727684786,Apple,AAPL
2026-06-30,307.8310656464392,278.8583860798856,336.8037452129928,Apple,AAPL
2026-07-01,307.96884177451847,278.5089878257446,337.4286957232923,Apple,AAPL
2026-07-02,308.10663825169263,278.16754776718096,338.0457287362043,Apple,AAPL
2026-05-22,419.0791170284487,408.73434330924755,429.42389074764986,Microsoft,MSFT
2026-05-25,419.1546068116834,404.83607096399635,433.4731426593704,Microsoft,MSFT
2026-05-26,419.0896946481902,401.83014920473124,436.3492400916491,Microsoft,MSFT
2026-05-27,419.14180387655523,399.24435653857824,439.0392512145322,Microsoft,MSFT
2026-05-28,419.09997239945335,396.9689160505793,441.2310287483274,Microsoft,MSFT
